id,act,SalePrice
703,14595.195111790032,14051.581048478285
1361,31259.547285099292,27913.236236535184
937,30287.460074989587,27942.240334709444
1330,26676.850437439247,29777.70045212641
113,25288.154422996806,27468.186785830705
1428,11678.933481460908,11205.942489775813
310,18150.256908762673,20260.47398023169
1142,54154.97847521178,49657.05054857183
766,22441.327593389808,21165.040677937297
836,16469.93473128732,15312.667526090328
1099,16955.978336342174,18515.970396763805
449,11817.803082905153,11001.307269444846
1342,26885.154839605613,29335.92593054473
648,16678.239133453688,18918.431294508962
104,18691.848354395224,15326.960633368659
1185,9720.872101097071,12708.025648115625
1207,22927.371198444664,28237.47864654111
799,19455.631162338566,16574.315648306816
1136,11678.933481460908,12099.467485769599
408,34036.93931398417,38655.4793592879
728,10429.107068462714,11908.146183699926
1166,29225.10762394112,33271.91480555386
136,15011.803916122763,14956.866230067859
1172,19025.13539786141,16036.719634419818
891,19108.457158727953,17813.733853742346
1272,14178.586307457297,14124.76985441337
692,41674.767393417584,34641.615723841904
1395,34205.38814053604,37430.42701369611
167,40372.72601027635,42443.26550846092
1021,22094.1535897792,24167.43467336468
316,31259.547285099292,25188.887211720805
732,26051.937230940148,27845.080338830212
491,13623.107901680325,17131.67424952607
1436,11887.237883627276,11378.29958868995
1392,12234.411887237886,14549.865956411659
581,30328.14886821275,48493.6850735048
132,16088.043327315654,16642.57236101223
1002,27371.198444660466,28879.812163917657
1111,23621.719205665882,23178.15635719818
1119,13720.316622691293,12217.41583704873
582,11609.498680738787,13158.479185032118
1408,12581.585890848495,10877.674332756995
108,11123.455075683934,13121.670834541255
611,15706.151923343981,16585.202834079544
280,26885.154839605613,25546.354979198753
1150,12373.281488682129,13064.221735342368
1218,6332.45382585752,5296.277062996665
694,14803.499513956398,13090.218939579503
575,11609.498680738787,10538.141790195816
707,30426.329676433827,26497.97031639215
1217,27017.91417858631,31696.197760460647
273,14456.325510345785,18629.092989249337
785,17580.891542841277,17514.386419641905
21,14511.873350923483,13432.82364405536
451,34036.93931398417,24808.363834922588
117,16678.239133453688,16492.245056538057
822,26399.11123455076,24437.093824310923
176,24454.93681433134,27897.519611179305
464,12373.281488682129,11141.792401671153
1362,9720.872101097071,14268.183045419482
296,16261.630329120957,15662.537545430701
527,57125.53811970561,57847.04955042267
1411,14595.195111790032,15066.701383611198
1106,20136.09220941536,19281.73638029581
771,9318.150256908762,12648.997617694677
150,12095.542285793641,12647.903792030527
1332,9040.411054020276,11521.179404586988
1134,18622.4135536731,19511.133198038315
235,7582.280238855716,5601.879607540937
261,33481.46090820719,41496.99570204811
69,26399.11123455076,23552.31874011742
442,17775.308984863215,14376.104755673747
861,13414.803499513955,11994.438255323068
300,16955.978336342174,16375.572369337895
877,43757.81141508124,39661.62635735578
843,14734.064713234275,7955.951950927846
429,19455.631162338566,19270.45488185859
837,9040.411054020276,8716.31194109384
1013,6957.3670323566175,6294.216934214523
0,24107.762810720735,24349.480671319834
141,31259.547285099292,33003.76169432479
1216,10706.846271351202,12875.369945796292
601,14734.064713234275,11774.41825311118
959,16678.239133453688,18741.72833867107
635,22927.371198444664,23326.472691253086
52,10429.107068462714,10252.240345085365
1033,27093.459241771976,28514.105975793736
18,17233.717539230664,16606.114203272857
588,15011.803916122763,27587.539010271124
944,14248.02110817942,20014.513294093133
79,10429.107068462714,10060.749531343863
1173,22996.80599916678,24256.044443844352
1442,38203.02735731149,40794.19942229148
569,14034.161921955285,15487.179102798202
864,29951.395639494516,21749.669941793625
960,11331.759477850299,13290.325656592022
29,4666.018608526594,3261.945028727442
734,10151.367865574228,10665.482940507234
337,24871.545618664077,26412.69636679769
743,19455.631162338566,17769.933117562985
1160,15428.412720455492,14802.56529608005
301,32231.634495209,31342.365392311232
401,18065.546451881688,20113.51473737779
872,11262.32467712818,12933.229160341447
1312,37092.07054575753,37346.5218944679
1284,18622.4135536731,24786.773163209953
457,30704.068879322316,26387.778254133682
1221,13761.977503124568,13021.235093762958
41,18761.283155117348,17379.724952997756
58,56086.654631301215,46241.22812825661
1219,7860.019441744203,8493.298230111628
651,10151.367865574228,11705.492219791227
783,18136.36994861825,16486.46390418572
535,10081.933064852105,14299.799951689725
357,13761.977503124568,16290.881700579896
216,24316.067212887097,25616.98025378526
1228,46159.42230245799,46621.8844242455
1432,4110.540202749618,12017.294697532396
148,14734.064713234275,15768.537645663708
1189,21399.80558255798,21138.419680471656
617,9804.193861963615,12110.989256025005
44,14734.064713234275,14072.14503414618
537,10602.694070268019,11000.341638520591
1441,15886.682405221498,15568.235558990513
727,22163.58839050132,22757.025922196848
1242,18761.283155117348,21045.24344124666
769,69865.2964865991,57047.43000247926
1292,10081.933064852105,11001.064932713392
1046,72445.63255103459,54714.40496695086
832,28065.546451881684,27452.768795948945
112,48475.211776142205,42355.6133853877
341,6540.758228023887,7129.360413866663
198,9595.88945979725,9862.67745635963
1334,12512.151090126372,9304.000570148673
1057,29593.11206776837,26907.642717363582
445,12859.325093736985,16694.037365517364
120,20149.979169559785,19490.58412395504
942,15983.89112623247,19624.987725897918
1139,15150.673517567004,11032.078376564672
548,12512.151090126372,11000.615688413314
902,20149.979169559785,20818.93767209499
395,13067.62949590335,13656.037732089604
532,10081.933064852105,9260.664598188136
115,19594.500763782806,18927.44971417549
107,11123.455075683934,7164.016744233231
1048,11123.455075683934,15675.111539929538
78,14109.15150673518,11955.61867077693
225,10706.846271351202,8574.168203920097
716,17303.152339952787,20612.76499018193
1023,21677.54478544647,22712.705973970238
267,20080.54436883766,20756.76330945773
343,32092.764893764757,36163.45617480849
690,14734.064713234275,16496.99298978821
458,17511.456742119153,16564.51238947209
207,14734.064713234275,14683.560576900021
1383,10706.846271351202,16048.62958966857
224,48791.83446743509,55464.45550740842
951,11803.91612276073,10978.311171990868
936,20830.44021663658,20746.559939076426
1310,41674.767393417584,33629.77913498212
796,15081.238716844886,15396.568799974822
630,12373.281488682129,10396.108899152361
1072,7860.019441744203,9519.823355635903
1251,19004.304957644774,21630.571634691678
522,17233.717539230664,16433.705798565086
139,27301.763643938342,23515.504159090684
91,8845.993611998334,11339.073202495552
291,14025.829745868628,14067.47307747538
17,7651.715039577837,9653.76480647631
187,13900.84710456881,15263.099757647453
1069,13900.84710456881,12624.843188468803
1044,33759.200111095684,37269.47916557099
227,9873.62866268574,7943.0036689726185
1223,14303.568948757118,17855.28843097659
358,13206.49909734759,11505.697311883776
326,40147.2017775309,36321.946140953434
650,23753.645327037913,24762.591975120406
327,15324.260519372312,13413.596668218786
879,14109.15150673518,13206.231084981315
828,20844.327176781004,23756.606315621455
1064,16539.369532009445,16381.789419663837
1348,25010.415220108316,32023.887427345817
931,11470.629079294544,12789.696654231053
607,26399.11123455076,21875.71148638457
376,15706.151923343981,15254.818021259336
968,416.60880433273195,3446.1588102239934
1443,11956.672684349396,9535.730968413878
339,16678.239133453688,17954.635290660714
351,21538.67518400222,25392.260700778046
846,24732.67601721983,20742.667066513375
1373,59936.11998333566,62025.9426261303
1376,7790.584641022082,8912.523306128429
199,33328.70434661853,33396.21214104596
81,16469.93473128732,18823.719168497937
971,19177.891959450077,17422.422828727053
1301,19802.80516594918,17643.75858337571
114,31190.11248437717,26593.144985129107
214,17615.608943202333,14445.149116435196
598,25357.58922371893,20937.843239506168
293,27787.807248993195,27912.07592614901
1261,13053.742535758922,12751.936582455908
99,13060.686015831136,12338.13742787498
719,12998.194695181226,14773.493982938682
756,24593.806415775587,24086.927585026766
94,23587.00180530482,22867.93637116319
462,3816.553256492154,13594.50632163951
1369,27371.198444660466,28568.303725046982
642,43063.46340786002,44743.948451142074
1410,27093.459241771976,24705.831419427774
154,12512.151090126372,13132.517451582724
472,15706.151923343981,15259.004756693523
812,2929.1765032634366,7990.358795466228
1237,22233.023191223438,24238.937668254162
1381,28134.981252603808,25924.79326296018
284,20038.88348840439,22414.550781040572
481,47090.681849743094,46037.857141050736
817,32787.11290098598,38268.318510474484
1090,8054.436883766143,7532.565628676862
331,14456.325510345785,13996.148635503298
1393,17789.19594500764,15803.592671614004
1434,17372.587140674907,17104.014829418633
1205,32912.095542285795,38205.35559608495
1038,8623.802249687544,11250.535552289139
996,14109.15150673518,12007.445074266516
750,8554.367448965424,8151.481067390115
579,13414.803499513955,13919.801280321813
368,13484.238300236078,15163.793419130841
649,6887.932231634496,6672.963946229965
1208,14595.195111790032,15702.404187566208
487,19455.631162338566,19037.76434208418
908,13345.368698791837,12662.544074057678
48,10845.715872795447,9711.94728245501
352,8346.063046799056,8522.908151520429
72,20844.327176781004,23964.597874117477
737,28468.268296069993,28587.004862742706
763,41952.50659630607,37137.434617065315
820,20566.587973892514,21818.49749211535
210,8762.671851131789,8542.926742390875
973,20427.71837244827,24714.271510705694
